郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
苏珊·萨兰登（SusanSarandon），1946年10月4日出生于美国纽约，美国演员、制作人，毕业于美国天主教大学。1970年，出演个人第一部电影《乔》，正式进入娱乐圈。1975年，主演喜剧歌舞片《洛基恐怖秀》[1] 。1980年，凭借爱情犯罪片《大西洋城》入围第54届奥斯卡最佳女主角奖[2] 。1983年，出演恐怖电影《血魔》。1987年，凭借恐怖片《东镇女巫》入围第15届土星奖最佳女主角奖。1990年，凭借女性公路片《末路狂花》入围第64届奥斯卡奖最佳女主角奖[2] 。1992年，出演剧情片《罗伦佐的油》[3] 。1996年，凭借犯罪片《死囚漫步》获得第68届奥斯卡金像奖最佳女主角奖[2] 。1999年，在剧情电影《芳心天涯》中饰演母亲阿黛尔。2002年，主演剧情片《伊比的堕落》，凭借该片入围第60届金球奖电影类最佳女配角奖[4] 。2004年，出演剧情片《圣诞夜奇迹》[5] 。2007年，主演剧情片《伯纳德与桃瑞丝》，而她也凭借该片入围第66届金球奖迷你剧/电视电影类最佳女主角奖[6] 。2009年，出演奇幻惊悚片《可爱的骨头》，她凭借该片获得第36届土星奖最佳女配角奖[7] 。2012年，出演科幻悬疑片《云图》[8] 。2016年，担任喜剧片《爱管闲事的人》的制作人。2017年，主演传记剧《宿敌：贝蒂和琼》[9] 。	苏珊 萨兰登 SusanSarandon 日出 生于 美国纽约 美国 演员 制作 毕业 美国 天主教 大学 出演 个人 第一部 电影 正式 进入 娱乐圈 主演 喜剧 歌舞片 洛基 恐怖 爱情 犯罪 大西洋城 入围 奥斯卡 最佳 主角奖 出演 恐怖电影 血魔 恐怖片 东镇 女巫 入围 土星 最佳 主角奖 女性 公路 末路 狂花 入围 奥斯卡奖 最佳 主角奖 出演 剧情片 罗伦佐 犯罪 死囚 漫步 获得 奥斯卡金像奖 最佳 主角奖 剧情 电影 芳心 天涯 饰演 母亲 阿黛尔 主演 剧情片 伊比 堕落 该片 入围 金球奖 电影 最佳 配角奖 出演 剧情片 圣诞夜 奇迹 主演 剧情片 伯纳德 桃瑞丝 该片 入围 金球奖 迷你 电视 电影 最佳 主角奖 出演 奇幻 惊悚片 可爱 骨头 该片 获得 土星 最佳 配角奖 出演 科幻 悬疑片 云图 担任 喜剧片 爱管闲事 制作 主演 传记 宿敌 贝蒂和琼
罗家英原名罗行堂，1946年9月22日生，祖籍广东顺德，粤剧表演艺术家、影视演员。1949年罗家英跟随父亲罗家权（罗仕干）定居香港。8岁时跟随父亲罗家权、伯父罗家树学习粤剧基本功架，师随粉菊花、吕国铨、刘洵、李万春等京剧大师，21岁担当演出文武生，1973年正式担正。1994年罗家英凭借出演《国产凌凌漆》及1995年的《大话西游》而被观众熟知。2018年7月1日，艺人罗家英被授予铜紫荆星章。[1] 2020年5月22日由王晶编剧并执导，罗家英主演的网络电影《孙悟空大战盘丝洞》公开预告片，并确认将在腾讯视频上线开播。[2] 	罗家英 原名 罗行堂 日生 祖籍 广东 顺德 粤剧 表演艺术家 影视 演员 罗家英 跟随 父亲 罗家 罗仕干 定居 香港 跟随 父亲 罗家 伯父 罗家 学习 粤剧 基本功 随粉 菊花 吕国铨 刘洵 万春 京剧 大师 担当 演出 文武 正式 担正 罗家英 出演 国产 凌凌漆 大话西游 观众 熟知 艺人 罗家英 授予 紫荆 星章 王晶 编剧 执导 罗家英 主演 网络 电影 孙悟空 大战 盘丝洞 公开 预告片 确认 腾讯 视频 上线 开播
陆天明，1943年出生于云南省昆明市，祖籍江苏省南通市海门区，中国内地作家、编剧。1983年，创作个人首部电视剧剧本《华罗庚》。1984年，出版中篇小说集《啊，野麻花》[1] 。1992年，担任剧情电影《走出地平线》的编剧[2] 。1995年，担任反腐剧《苍天在上》的编剧。1999年，创作多幕话剧《第十七棵黑杨》[3] 。2001年，凭借反腐剧《大雪无痕》入围第19届中国电视金鹰奖最佳编剧奖[4] 。2003年，陆天明获得中国电视艺术家协会颁发的金鹰突出成就奖[1] 。2006年，担任反腐剧《高纬度战栗》的编剧[5] 。2010年，凭借都市生活剧《命运》入围第28届中国电视剧飞天奖优秀编剧奖[6] 。2017年，出版长篇小说《幸存者》[7] 。2018年，担任当代剧《大桥》的编剧[8] 。2019年9月23日，陆天明长篇小说《省委书记》入选“新中国70年70部长篇小说典藏”。[9] 	陆天明 年出 生于 云南省 昆明市 祖籍 江苏省 南通市 海门 中国 内地 作家 编剧 创作 个人 首部 电视剧 剧本 华罗庚 出版 中篇小说 麻花 担任 剧情 电影 走出 地平线 编剧 担任 反腐 苍天 编剧 创作 多幕 话剧 第十七 反腐 大雪 无痕 入围 中国 电视 金鹰奖 最佳 编剧奖 陆天明 获得 中国 电视艺术家协会 颁发 金鹰 突出 成就奖 担任 反腐 高纬度 战栗 编剧 都市生活 命运 入围 中国 电视剧 飞天奖 优秀 编剧奖 出版 长篇小说 幸存者 担任 当代 大桥 编剧 陆天明 长篇小说 省委书记 入选 中国 长篇小说 典藏
赵丽蓉（1928年3月11日—2000年7月17日），中国著名评剧/小品表演艺术家[1] ，1928年3月11日出生于河北省唐山市宝坻县（现天津市宝坻区）。1962年，参加演出的评剧《花为媒》，被观众所识[2] ；1964年，在评剧《小二黑结婚》饰三仙姑[3] ；1980年，在评剧《杨三姐告状》中饰杨母，后该片被拍摄成电影[4] ；1986年，在六小龄童、徐少华主演电视剧《西游记》中饰车迟国王后[5] ；1988年，60岁的她首次登上春晚[6] ；1991年，凭《过年》中的“母亲”一角获该年度东京国际电影节影后，以及中国电影政府奖[7] ；1992年，又获得了大众电影百花奖影后和第四届中国电影表演艺术学会大奖[7] ；1995年，在央视春晚中主演小品《如此包装》，获得春节联欢晚会小品一等奖[1] ；1999年，在央视春晚中主演小品《老将出马》[1] 。2000年7月17日清晨7时30分因肺癌逝世，享年72岁[8] ；2016年3月11日，央视新闻发微博纪念赵丽蓉88岁冥诞。[6] 	赵丽蓉 中国 著名 评剧 小品 表演艺术家 日出 生于 河北省 唐山市 宝坻县 天津市 宝坻区 参加 演出 评剧 花为 观众 所识 评剧 小二黑 结婚 仙姑 评剧 杨三姐 告状 中饰 杨母 该片 拍摄 电影 六小龄童 徐少华 主演 电视剧 西游记 中饰 车迟 国王 首次 登上 春晚 过年 母亲 一角 获该 年度 东京国际 电影节 影后 中国 电影 政府奖 获得 大众 电影 百花奖 影后 第四届 中国 电影 表演艺术 学会 大奖 央视春晚 主演 小品 包装 获得 春节 联欢晚会 小品 一等奖 央视春晚 主演 小品 老将 出马 清晨 分因 肺癌 逝世 享年 央视 新闻 发微博 纪念 赵丽蓉 冥诞
李嘉诚（1928年7月29日—），汉族，出生于广东潮州潮安县，祖籍广东潮汕地区[1] ，长江和记实业有限公司及长江实业集团有限公司资深顾问。[2] 连续21年蝉联香港首富[3-4] ，1999年始连续15年华人首富[5] 。2020年《福布斯》发布香港富豪榜显示，李嘉诚位居第二，身价294亿美元。[6] 1939年6月，刚读初中的李嘉诚在与家人辗转到香港，一家人寄居在舅父庄静庵的家里。1958年开始投资地产。1979年购入老牌英资商行“和记黄埔”，成为首位收购英资商行的华人。1981年获选“香港风云人物”和太平绅士。1989年获英国女王颁发的CBE勋衔、1992年被聘为港事顾问、1993年度香港风云人物、1995年至1997年任特区筹备委员会委员。自从1999年被福布斯评为全球华人首富以来，连续15年蝉联华人首富宝座。2011年，李嘉诚工夫茶传奇故事入选国家孔子学院汉语外教文章。2014年3月，李嘉诚将屈臣氏股份近25%作价440亿港元卖给新加坡主权基金淡马锡，在8个月中已套现超过710亿港元。2015年3月下旬，李嘉诚旗下公司和记黄埔与西班牙电信公司Telefonica达成最终协议，和记黄埔有限公司将斥资约102.5亿英镑（约合956亿元人民币）收购英国第二大移动电信运营商O2。2017年11月，李嘉诚基金会决定未来8年再捐资20亿元支持汕头大学建设，曾被传要从汕头大学撤出被证实为谣言。[7] 2018年5月10日，李嘉诚正式退休；6月29日，李嘉诚辞去汕头大学校董会名誉主席职务；[8-9] 9月，李嘉诚入选“世界最具影响力十大华商人物”。[10] 	李嘉诚 汉族 生于 广东 潮州 潮安县 祖籍 广东 潮汕地区 长江 实业 有限公司 长江 实业集团 有限公司 资深 顾问 连续 蝉联 香港 首富 年始 连续 华人 首富 福布斯 发布 香港 富豪榜 显示 李嘉诚 位居 身价 亿美元 刚读 初中 李嘉诚 家人 辗转 香港 一家人 寄居 舅父 庄静 家里 投资 地产 购入 老牌 英资 商行 黄埔 成为 首位 收购 英资 商行 华人 获选 香港 风云人物 太平 绅士 英国女王 颁发 CBE 勋衔 聘为 港事 顾问 年度 香港 风云人物 年任 特区 筹备 委员会 委员 福布斯 评为 全球华人 首富 以来 连续 蝉联 华人 首富 宝座 李嘉诚 工夫茶 传奇 故事 入选 国家 孔子 学院 汉语 外教 文章 李嘉诚 屈臣氏 股份 25% 作价 亿港元 新加坡 主权 基金 淡马锡 套现 超过 亿港元 下旬 李嘉诚 旗下 公司 黄埔 西班牙 电信公司 Telefonica 达成 最终 协议 黄埔 有限公司 斥资 102.5 亿英镑 约合 亿元 人民币 收购 英国 移动 电信 运营商 O2 李嘉诚基金会 决定 未来 捐资 亿元 支持 汕头大学 建设 传要 汕头大学 撤出 证实 谣言 李嘉诚 正式 退休 李嘉诚 辞去 汕头大学 校董 名誉主席 职务 李嘉诚 入选 世界 最具 影响力 十大 华商 人物
金文声（1930年-2017年5月25日），出生于山东省济南市[1] ，评书、山东快书演员。收徒郭德纲、于谦、高峰、李菁等。2017年5月25日上午，金文声在天津逝世，享年87岁。[2] 	金文 生于 山东省 济南市 评书 山东快书 演员 收徒 郭德纲 于谦 高峰 李菁 上午 金文 天津 逝世 享年
张暖忻（1940年10月27日—1995年5月28日），出生于内蒙古自治区呼和浩特市，祖籍辽宁省铁岭市，中国内地导演、编剧，毕业于北京电影学院导演系。1974年，到上海电影制片厂给桑弧、谢晋当助手[1] 。1981年，独立执导个人首部电影《沙鸥》，她凭借该片获得第2届中国电影金鸡奖导演特别奖[2] 。1985年，由其自编自导的剧情电影《青春祭》上映[3] 。1990年，执导剧情电影《北京，你早》[4] ，该片获得香港国际电影节年度十大华语片奖。1994年，执导剧情电影《南中国1994》。1995年5月28日，张暖忻因癌症晚期病逝于北京[5] 。	张暖 生于 内蒙古自治区 呼和浩特市 祖籍 辽宁省 铁岭市 中国 内地 导演 编剧 毕业 北京电影学院 导演系 上海电影制片厂 桑弧 谢晋 助手 独立 执导 个人 首部 电影 沙鸥 该片 获得 中国 电影 金鸡奖 导演 特别奖 自编 自导 剧情 电影 青春 上映 执导 剧情 电影 北京 该片 获得 香港 国际 电影节 年度 十大 华语 片奖 执导 剧情 电影 中国 张暖 忻因 癌症 晚期 病逝 北京
胡大一，男，1946年7月生，汉族，河南人，教授、博士生导师，国际欧亚科学院院士、中国共产党党员。北京大学人民医院心血管内科主任医师，国家和北京市突出贡献专家、卫生部健康教育首席专家，国家重点学科心血管内科负责人，享受政府特殊津贴。现任京东健康心脏中心主任。[1] 主要研究领域为心血管疾病临床诊治及预防、康复，在全国范围内积极推进心血管疾病预防、康复及多学科交叉综合研究。擅长心血管疾病临床诊治及预防、康复[2] 。	胡大一 月生 汉族 河南人 教授 博士生 导师 国际 欧亚 科学院 院士 中国共产党 党员 北京大学人民医院 心血管 内科 主任医师 国家 北京市 突出贡献 专家 卫生部 健康 教育 首席专家 国家 重点学科 心血管 内科 负责人 享受 政府 特殊津贴 现任 京东 健康 心脏 中心 主任 主要 研究 领域 心血管 疾病 临床 诊治 预防 康复 全国 范围 积极 推进 心血管 疾病 预防 康复 学科 交叉 综合 研究 擅长 心血管 疾病 临床 诊治 预防 康复
焦姣，原名焦莉娜，1943年出生于重庆，中国港台影视、配音演员。1949年，随家人到台湾[1] 。1961年，考入中央电影事业股份有限公司演员训练班，毕业后在多部影片中任特约演员。1962年，在台视演出首部电视剧《浮生若梦》。2012年，凭电影《窃听风云2》获得第11届长春电影节最佳女配角奖[2] 。	焦姣 原名 焦莉娜 年出 生于 重庆 中国 港台 影视 配音演员 家人 台湾 考入 中央 电影 事业 股份 有限公司 演员 训练班 毕业 多部 影片 中任 特约 演员 台视 演出 首部 电视剧 浮生若梦 电影 窃听 风云 获得 长春 电影节 最佳 配角奖
迈克尔·道格拉斯（MichaelDouglas），1944年9月25日出生于新泽西州，毕业于美国加州大学圣塔芭芭拉分校，美国电影演员、制片人。1976年因担任《飞越疯人院》制片人获奥斯卡最佳影片奖，1987年凭借电影《华尔街》获得奥斯卡最佳男主角奖。2000年和比他小24岁的英国女星凯瑟琳·泽塔·琼斯结婚。2009年6月，迈克尔·道格拉斯获颁美国电影学会终生成就奖[1-2] 。2010年再度携手奥利佛·斯通推出《华尔街2：金钱永不眠》。2010年8月，被确诊患上咽喉癌。2014年，凭借《烛台背后》获得迷你剧/电视电影最佳男主角奖，迈克尔·道格拉斯又加盟漫威电影《蚁人》，出演一代蚁人汉克·皮姆博士[3] 。2019年1月，凭借《柯明斯基理论》获第76届美国电影电视金球奖音乐/喜剧类剧集最佳男主角。[4] 	迈克尔 道格拉斯 MichaelDouglas 日出 生于 新泽西州 毕业 美国加州大学 圣塔 芭芭拉 分校 美国 电影演员 制片人 担任 飞越 疯人院 制片人 奥斯卡 最佳 影片奖 电影 华尔街 获得 奥斯卡 最佳 主角奖 英国 女星 凯瑟琳 泽塔 琼斯 结婚 迈克尔 道格拉斯 获颁 美国 电影 学会 终生 成就奖 再度 携手 奥利佛 斯通 推出 华尔街 金钱 永不 确诊 患上 咽喉癌 烛台 背后 获得 迷你 电视 电影 最佳 主角奖 迈克尔 道格拉斯 加盟 漫威 电影 出演 一代 人汉克 皮姆 博士 明斯基 理论 美国 电影 电视 金球奖 音乐 喜剧类 剧集 最佳 男主角
